"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","70 A 74","VENEZUELA",2018,6,"VALPARAÍSO","4","14","","14",18
"H","70 A 74","VENEZUELA",2018,7,"METROPOLITANA DE SANTIAGO","44","119","8","127",171
"H","70 A 74","VENEZUELA",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","4","5","","5",9
"H","70 A 74","VENEZUELA",2018,9,"MAULE","5","5","","5",10
"H","70 A 74","VENEZUELA",2018,10,"ÑUBLE","","3","","3",3
"H","70 A 74","VENEZUELA",2018,11,"BIOBÍO","3","4","1","5",8
"H","70 A 74","VENEZUELA",2018,12,"LA ARAUCANÍA","","2","","2",2
"H","70 A 74","VENEZUELA",2018,13,"LOS RÍOS","1","2","","2",3
"H","70 A 74","VENEZUELA",2018,14,"LOS LAGOS","1","3","","3",4
"H","70 A 74","VENEZUELA",2018,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","","2","","2",2
"H","70 A 74","VENEZUELA",2018,17,"REGIÓN IGNORADA","","144","","144",144
"H","70 A 74","VENEZUELA",2019,1,"ARICA Y PARINACOTA","","1","","1",1
"H","70 A 74","VENEZUELA",2019,2,"TARAPACÁ","1","3","1","4",5
"H","70 A 74","VENEZUELA",2019,3,"ANTOFAGASTA","","9","","9",9
"H","70 A 74","VENEZUELA",2019,4,"ATACAMA","","3","","3",3
"H","70 A 74","VENEZUELA",2019,5,"COQUIMBO","2","13","","13",15
"H","70 A 74","VENEZUELA",2019,6,"VALPARAÍSO","4","29","2","31",35
"H","70 A 74","VENEZUELA",2019,7,"METROPOLITANA DE SANTIAGO","56","316","20","336",392
"H","70 A 74","VENEZUELA",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","6","12","","12",18
"H","70 A 74","VENEZUELA",2019,9,"MAULE","5","17","1","18",23
"H","70 A 74","VENEZUELA",2019,10,"ÑUBLE","","3","1","4",4
"H","70 A 74","VENEZUELA",2019,11,"BIOBÍO","3","17","3","20",23
"H","70 A 74","VENEZUELA",2019,12,"LA ARAUCANÍA","","7","","7",7
"H","70 A 74","VENEZUELA",2019,13,"LOS RÍOS","1","1","","1",2
"H","70 A 74","VENEZUELA",2019,14,"LOS LAGOS","","6","1","7",7
"H","70 A 74","VENEZUELA",2019,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","1","","1",1
"H","70 A 74","VENEZUELA",2019,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","","2","","2",2
"H","70 A 74","VENEZUELA",2019,17,"REGIÓN IGNORADA","","50","1","51",51
"H","70 A 74","VENEZUELA",2020,1,"ARICA Y PARINACOTA","","1","","1",1
"H","70 A 74","VENEZUELA",2020,2,"TARAPACÁ","2","4","","4",6
"H","70 A 74","VENEZUELA",2020,3,"ANTOFAGASTA","1","10","","10",11
"H","70 A 74","VENEZUELA",2020,4,"ATACAMA","","3","","3",3
"H","70 A 74","VENEZUELA",2020,5,"COQUIMBO","1","16","2","18",19
"H","70 A 74","VENEZUELA",2020,6,"VALPARAÍSO","4","34","3","37",41
"H","70 A 74","VENEZUELA",2020,7,"METROPOLITANA DE SANTIAGO","71","444","27","471",542
"H","70 A 74","VENEZUELA",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","6","16","","16",22
"H","70 A 74","VENEZUELA",2020,9,"MAULE","3","21","1","22",25
"H","70 A 74","VENEZUELA",2020,10,"ÑUBLE","","3","1","4",4
"H","70 A 74","VENEZUELA",2020,11,"BIOBÍO","3","18","3","21",24
"H","70 A 74","VENEZUELA",2020,12,"LA ARAUCANÍA","1","5","","5",6
"H","70 A 74","VENEZUELA",2020,13,"LOS RÍOS","1","1","","1",2
"H","70 A 74","VENEZUELA",2020,14,"LOS LAGOS","","4","1","5",5
"H","70 A 74","VENEZUELA",2020,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","1","","1",1
"H","70 A 74","VENEZUELA",2020,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","","3","","3",3
"H","70 A 74","VENEZUELA",2020,17,"REGIÓN IGNORADA","","20","2","22",22
"H","70 A 74","VENEZUELA",2021,1,"ARICA Y PARINACOTA","1","2","","2",3
"H","70 A 74","VENEZUELA",2021,2,"TARAPACÁ","2","5","","5",7
"H","70 A 74","VENEZUELA",2021,3,"ANTOFAGASTA","2","13","2","15",17
"H","70 A 74","VENEZUELA",2021,4,"ATACAMA","","5","","5",5
"H","70 A 74","VENEZUELA",2021,5,"COQUIMBO","1","10","1","11",12
"H","70 A 74","VENEZUELA",2021,6,"VALPARAÍSO","9","37","6","43",52
"H","70 A 74","VENEZUELA",2021,7,"METROPOLITANA DE SANTIAGO","93","516","19","535",628
"H","70 A 74","VENEZUELA",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","5","27","","27",32
"H","70 A 74","VENEZUELA",2021,9,"MAULE","3","26","1","27",30
"H","70 A 74","VENEZUELA",2021,10,"ÑUBLE","","10","1","11",11
"H","70 A 74","VENEZUELA",2021,11,"BIOBÍO","3","18","3","21",24
"H","70 A 74","VENEZUELA",2021,12,"LA ARAUCANÍA","1","8","","8",9
"H","70 A 74","VENEZUELA",2021,13,"LOS RÍOS","1","2","","2",3
"H","70 A 74","VENEZUELA",2021,14,"LOS LAGOS","1","10","","10",11
"H","70 A 74","VENEZUELA",2021,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","1","","1",1
"H","70 A 74","VENEZUELA",2021,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","5","","5",6
"H","70 A 74","VENEZUELA",2021,17,"REGIÓN IGNORADA","","10","12","22",22
"H","70 A 74","VENEZUELA",2022,1,"ARICA Y PARINACOTA","1","4","","4",5
"H","70 A 74","VENEZUELA",2022,2,"TARAPACÁ","1","5","","5",6
"H","70 A 74","VENEZUELA",2022,3,"ANTOFAGASTA","2","12","1","13",15
"H","70 A 74","VENEZUELA",2022,4,"ATACAMA","","4","","4",4
"H","70 A 74","VENEZUELA",2022,5,"COQUIMBO","","17","2","19",19
"H","70 A 74","VENEZUELA",2022,6,"VALPARAÍSO","10","39","6","45",55
"H","70 A 74","VENEZUELA",2022,7,"METROPOLITANA DE SANTIAGO","114","581","15","596",710
"H","70 A 74","VENEZUELA",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","6","30","","30",36
"H","70 A 74","VENEZUELA",2022,9,"MAULE","3","31","1","32",35
"H","70 A 74","VENEZUELA",2022,10,"ÑUBLE","","12","1","13",13
"H","70 A 74","VENEZUELA",2022,11,"BIOBÍO","1","19","","19",20
"H","70 A 74","VENEZUELA",2022,12,"LA ARAUCANÍA","1","9","","9",10
"H","70 A 74","VENEZUELA",2022,13,"LOS RÍOS","1","3","","3",4
"H","70 A 74","VENEZUELA",2022,14,"LOS LAGOS","1","15","","15",16
"H","70 A 74","VENEZUELA",2022,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","1","","1",1
"H","70 A 74","VENEZUELA",2022,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","1","5","","5",6
"H","70 A 74","VENEZUELA",2022,17,"REGIÓN IGNORADA","","152","65","217",217
