"";"pais";"año";"region";"comuna";"estimacion"
"89";"ALEMANIA";"2020";"BIOBÍO";"CONCEPCIÓN";136
"90";"ALEMANIA";"2020";"COQUIMBO";"COQUIMBO";29
"91";"ALEMANIA";"2020";"COQUIMBO";"LA SERENA";76
"92";"ALEMANIA";"2020";"LA ARAUCANÍA";"TEMUCO";118
"93";"ALEMANIA";"2020";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";18
"94";"ALEMANIA";"2020";"LOS LAGOS";"PUERTO MONTT";57
"95";"ALEMANIA";"2020";"MAULE";"CURICÓ";12
"96";"ALEMANIA";"2020";"MAULE";"TALCA";57
"97";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";4
"98";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"COLINA";89
"99";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";6
"100";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"ESTACIÓN CENTRAL";27
"101";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"INDEPENDENCIA";16
"102";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"LA CISTERNA";4
"103";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"LA FLORIDA";101
"104";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"LAS CONDES";823
"105";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"LO BARNECHEA";212
"106";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"LO PRADO";2
"107";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"MACUL";35
"108";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"MAIPÚ";42
"109";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"MELIPILLA";5
"110";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"PEÑALOLÉN";91
"111";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"PROVIDENCIA";580
"112";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"PUDAHUEL";12
"113";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"PUENTE ALTO";54
"114";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"QUILICURA";16
"115";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"QUINTA NORMAL";18
"116";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"RECOLETA";41
"117";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"SAN BERNARDO";28
"118";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"SAN JOAQUÍN";12
"119";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"SAN MIGUEL";23
"120";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"SANTIAGO";391
"121";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"VITACURA";473
"122";"ALEMANIA";"2020";"METROPOLITANA DE SANTIAGO";"ÑUÑOA";329
"123";"ALEMANIA";"2020";"TARAPACÁ";"ALTO HOSPICIO";2
"124";"ALEMANIA";"2020";"TARAPACÁ";"IQUIQUE";40
"125";"ALEMANIA";"2020";"VALPARAÍSO";"VALPARAÍSO";151
"126";"ALEMANIA";"2020";"VALPARAÍSO";"VIÑA DEL MAR";299
"127";"ALEMANIA";"2021";"ANTOFAGASTA";"ANTOFAGASTA";43
"128";"ALEMANIA";"2021";"ANTOFAGASTA";"CALAMA";20
"129";"ALEMANIA";"2021";"ARICA Y PARINACOTA";"ARICA";30
"130";"ALEMANIA";"2021";"ATACAMA";"COPIAPÓ";21
"131";"ALEMANIA";"2021";"BIOBÍO";"CONCEPCIÓN";144
"132";"ALEMANIA";"2021";"COQUIMBO";"COQUIMBO";31
"133";"ALEMANIA";"2021";"COQUIMBO";"LA SERENA";80
"134";"ALEMANIA";"2021";"LA ARAUCANÍA";"TEMUCO";122
"135";"ALEMANIA";"2021";"LIBERTADOR GENERAL BERNARDO O'HIGGINS";"RANCAGUA";16
"136";"ALEMANIA";"2021";"LOS LAGOS";"PUERTO MONTT";59
"137";"ALEMANIA";"2021";"MAULE";"CURICÓ";12
"138";"ALEMANIA";"2021";"MAULE";"TALCA";60
"139";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"CERRO NAVIA";4
"140";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"COLINA";93
"141";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"CONCHALÍ";6
"142";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"ESTACIÓN CENTRAL";22
"143";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"INDEPENDENCIA";15
"144";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"LA CISTERNA";3
"145";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"LA FLORIDA";103
"146";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"LAS CONDES";826
"147";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"LO BARNECHEA";213
"148";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"LO PRADO";2
"149";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"MACUL";35
"150";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"MAIPÚ";42
"151";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"MELIPILLA";5
"152";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"PEÑALOLÉN";91
"153";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"PROVIDENCIA";612
"154";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"PUDAHUEL";11
"155";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"PUENTE ALTO";55
"156";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"QUILICURA";16
"157";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"QUINTA NORMAL";16
"158";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"RECOLETA";43
"159";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"SAN BERNARDO";28
"160";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"SAN JOAQUÍN";12
"161";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"SAN MIGUEL";23
"162";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"SANTIAGO";389
"163";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"VITACURA";478
"164";"ALEMANIA";"2021";"METROPOLITANA DE SANTIAGO";"ÑUÑOA";331
