"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"138";"ALEMANIA";"2021";60;7101;"Talca";7;"Maule"
"139";"ALEMANIA";"2021";4;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"140";"ALEMANIA";"2021";93;13301;"Colina";13;"Metropolitana de Santiago"
"141";"ALEMANIA";"2021";6;13104;"Conchalí";13;"Metropolitana de Santiago"
"142";"ALEMANIA";"2021";22;13106;"Estación Central";13;"Metropolitana de Santiago"
"143";"ALEMANIA";"2021";15;13108;"Independencia";13;"Metropolitana de Santiago"
"144";"ALEMANIA";"2021";3;13109;"La Cisterna";13;"Metropolitana de Santiago"
"145";"ALEMANIA";"2021";103;13110;"La Florida";13;"Metropolitana de Santiago"
"146";"ALEMANIA";"2021";826;13114;"Las Condes";13;"Metropolitana de Santiago"
"147";"ALEMANIA";"2021";213;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"148";"ALEMANIA";"2021";2;13117;"Lo Prado";13;"Metropolitana de Santiago"
"149";"ALEMANIA";"2021";35;13118;"Macul";13;"Metropolitana de Santiago"
"150";"ALEMANIA";"2021";42;13119;"Maipú";13;"Metropolitana de Santiago"
"151";"ALEMANIA";"2021";5;13501;"Melipilla";13;"Metropolitana de Santiago"
"152";"ALEMANIA";"2021";91;13122;"Peñalolén";13;"Metropolitana de Santiago"
"153";"ALEMANIA";"2021";612;13123;"Providencia";13;"Metropolitana de Santiago"
"154";"ALEMANIA";"2021";11;13124;"Pudahuel";13;"Metropolitana de Santiago"
"155";"ALEMANIA";"2021";55;13201;"Puente Alto";13;"Metropolitana de Santiago"
"156";"ALEMANIA";"2021";16;13125;"Quilicura";13;"Metropolitana de Santiago"
"157";"ALEMANIA";"2021";16;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"158";"ALEMANIA";"2021";43;13127;"Recoleta";13;"Metropolitana de Santiago"
"159";"ALEMANIA";"2021";28;13401;"San Bernardo";13;"Metropolitana de Santiago"
"160";"ALEMANIA";"2021";12;13129;"San Joaquín";13;"Metropolitana de Santiago"
"161";"ALEMANIA";"2021";23;13130;"San Miguel";13;"Metropolitana de Santiago"
"162";"ALEMANIA";"2021";389;13101;"Santiago";13;"Metropolitana de Santiago"
"163";"ALEMANIA";"2021";478;13132;"Vitacura";13;"Metropolitana de Santiago"
"164";"ALEMANIA";"2021";331;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"165";"ALEMANIA";"2021";3;1107;"Alto Hospicio";1;"Tarapacá"
"166";"ALEMANIA";"2021";39;1101;"Iquique";1;"Tarapacá"
"167";"ALEMANIA";"2021";172;5101;"Valparaíso";5;"Valparaíso"
"168";"ALEMANIA";"2021";315;5109;"Viña del Mar";5;"Valparaíso"
"169";"ALEMANIA";"2022";44;2101;"Antofagasta";2;"Antofagasta"
"170";"ALEMANIA";"2022";19;2201;"Calama";2;"Antofagasta"
"171";"ALEMANIA";"2022";29;15101;"Arica";15;"Arica y Parinacota"
"172";"ALEMANIA";"2022";20;3101;"Copiapó";3;"Atacama"
"173";"ALEMANIA";"2022";139;8101;"Concepción";8;"Biobío"
"174";"ALEMANIA";"2022";31;4102;"Coquimbo";4;"Coquimbo"
"175";"ALEMANIA";"2022";80;4101;"La Serena";4;"Coquimbo"
"176";"ALEMANIA";"2022";119;9101;"Temuco";9;"La Araucanía"
"177";"ALEMANIA";"2022";18;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"178";"ALEMANIA";"2022";57;10101;"Puerto Montt";10;"Los Lagos"
"179";"ALEMANIA";"2022";12;7301;"Curicó";7;"Maule"
"180";"ALEMANIA";"2022";60;7101;"Talca";7;"Maule"
"181";"ALEMANIA";"2022";4;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"182";"ALEMANIA";"2022";93;13301;"Colina";13;"Metropolitana de Santiago"
"183";"ALEMANIA";"2022";8;13104;"Conchalí";13;"Metropolitana de Santiago"
"184";"ALEMANIA";"2022";22;13106;"Estación Central";13;"Metropolitana de Santiago"
